id,label,value,group,lat,lng
l059,Aïn el Turck,2,ville,35.74381,-0.7693
l061,Aïn Fekka,5,ville,35.4267651,3.5802728
l063,Ain Kercha,1,ville,35.9249957,6.694771
l064,Ain Larbaa,1,ville,36.49851,1.96968
l065,Aïn M'Lila,1,ville,36.0361284,6.5739137
l066,Aïn Sefra,1,ville,32.7552229,-0.590542
l067,Aïn Sidi Cherif,2,ville,35.833527,0.1264578
l068,Aïn Temouchent,5,ville,35.2906474,-1.1399469
l069,Aït Addad - commune de Bechinoune,1,ville,36.75361,3.58417
l070,Akbou,3,ville,36.4573275,4.5386981
l071,Akfadou,1,ville,36.6306125,4.613891
l072,Alger,249,ville,36.73225,3.08746
l073,Ameur el Aïn,5,ville,36.47688,2.56593
l075,Arba (L'),4,ville,36.56471,3.15434
l077,Arcole-Valmy,2,ville,35.7255421,-0.5403103
l078,Arris,1,ville,35.2583565,6.3465948
l079,Baba Ali,10,ville,36.66228,3.05527
l080,Baba Hassen,1,ville,36.69556,2.9725
l081,Baraki,11,ville,36.66655,3.09606
l082,BATNA,6,ville,35.55597,6.17414
l083,Beghaoun,2,ville,35.059671,-1.8790404
l084,Bellevue,1,ville,36.72827,2.96809
l085,Ben Chicao,1,ville,36.1994871,2.8489575
l086,Beni Amrane (ex département de Constantine),3,ville,36.6669977,3.5880776
l087,Beni Mered,4,ville,36.5243046,2.8553118
l088,Beni Ourtilane,1,ville,36.4422885473,4.8711309133
l089,Beni Saf,4,ville,35.2980775,-1.3787124
l090,Bérard,1,ville,36.60293,2.60926
l091,Berrouaghia,10,ville,36.1322414,2.9172805
l092,Birkadem,4,ville,36.71499,3.05002
l093,Birmandreis,1,ville,36.7458,3.03916
l094,Biskra,2,ville,34.8558038,5.7256752
l095,Bizot,2,ville,36.4525,6.63639
l096,Blida,18,ville,36.478974,2.8043767
l097,Boghari (ex département d'Alger),1,ville,35.88889,2.74905
l098,Bône,9,ville,36.9,7.76667
l099,Bordj Bou Arreridj,2,ville,36.07183,4.7593743
l100,Borély la Sapie,2,ville,36.23196,2.5637
l101,Bou Hanifia,4,ville,35.31473,-0.05037
l102,Bou Ismaïl (ex-Castiglione) (ex département d'Alger),4,ville,36.6439755,2.6914187
l103,Bou Saâda,2,ville,35.20855,4.17402
l104,Bou Sfer,1,ville,35.70167,-0.81239
l105,Bou Tlélis,5,ville,35.57272,-0.8996
l106,Boufarik,22,ville,36.5734496,2.9085171
l107,Bougainville,2,ville,36.06965,1.39393
l108,Bougie,4,ville,36.75587,5.08433
l109,Bouïra,1,ville,36.3737546,3.902805
l110,Bourbika,2,ville,36.4948714,2.4756848
l111,Brazza,1,ville,36.06968,2.90107
l112,Burdeau,2,ville,35.43058,1.75714
l113,Calle (La),3,ville,36.89556,8.44333
l114,Camp Maréchal,15,ville,36.74413,3.90045
l115,Cavallo,1,ville,36.7744796,5.5998431
l116,Champlain,1,ville,36.26458,3.03083
l117,Changarnier,3,ville,36.31198,2.34081
l118,Chanzy,1,ville,34.9497529,-0.7193175
l119,Charron,6,ville,36.06629,1.12602
l120,Châteaudun-du-Rhummel,2,ville,36.16286,6.16651
l121,Chebli,4,ville,36.5771437,3.0078872
l122,Chenoua (Le),1,ville,36.60627,2.37177
l123,Chéragas (ex département d'Alger),2,ville,36.76775,2.95924
l124,Cherchell,12,ville,36.6036858,2.1821145
l125,Chiffa (La),8,ville,36.4623955,2.7381894
l126,Colomb Béchar,2,ville,31.61667,-2.21667
l127,Constantine,16,ville,36.365,6.61472
l128,Courbet,1,ville,35.71667,-0.61667
l129,Crescia,2,ville,36.6772,2.98213
l130,Damiette,1,ville,36.26342,2.78464
l131,Dellys (ex département d'Alger),1,ville,36.9155595,3.9137201
l132,Djelfa,4,ville,34.668632,3.2488908
l133,djidelli,1,ville,36.821,5.76352
l134,Dolfussville,2,ville,36.196937,2.5230413
l135,Douaouda,8,ville,36.6763653,2.7949739
l136,Douera (ex département d'Alger),1,ville,36.6672711,2.9499258
l137,Dra El Mizan,2,ville,36.53628,3.8334
l138,Duperré,2,ville,36.26405,1.9679
l139,El Affroun,1,ville,36.4700796,2.6246275
l140,El Ançor,1,ville,35.6860459,-0.8697378
l141,El Biar,3,ville,36.7696007,3.0318435
l142,El Goléa,1,ville,30.57556,2.88417
l143,El Ouricia,3,ville,36.2824998,5.4071775
l144,Ferry,1,ville,35.79776,0.68129
l145,Fondouck,3,ville,36.64997,3.3308
l146,Fontaine (La) (douar),1,ville,34.84218,1.54697
l147,Fort-de-l'Eau,4,ville,36.74871,3.19249
l148,Fort-Flatters,1,ville,28.12024,6.81856
l149,Fort-National,1,ville,36.63112,4.19864
l150,Fouka,3,ville,36.6612438,2.7396838
l151,Ghardaïa,3,ville,32.5025698,3.6830477
l152,Ghomriane (douar),1,ville,36.9469,6.45233
l153,Gué,2,ville,36.69692,3.0954
l154,Guelma (ex département de Constantine),2,ville,36.46214,7.42608
l155,Guyotville (ex département d'Alger),5,ville,36.80277,2.92185
l156,Hamimat Canrobert,1,ville,35.87541,7.11353
l157,Hamman Bou Hadjar,2,ville,35.37889,-0.96778
l158,Hassana,1,ville,35.2778637,-0.9868723
l159,Haussonvillers,1,ville,36.74625,3.83163
l160,Hillil (L'),1,ville,35.72011,0.35126
l161,Honaine,1,ville,35.168069558,-1.6140845899
l162,Hussein Dey,6,ville,36.7411629,3.095426
l163,Inkermann,2,ville,35.96124,0.91896
l164,Jemmapes,2,ville,36.73944,7.10528
l165,Kerrata,1,ville,36.49349,5.27802
l166,Koléa (ex département d'Alger),6,ville,36.6418829,2.7631546
l167,Kouba,1,ville,36.7282636,3.0811738
l168,La Sénia,1,ville,35.64779,-0.62397
l169,La Souma,1,ville,36.51833,2.90528
l170,Laghouat,5,ville,33.8,2.86514
l171,Lamoricière,1,ville,34.90472,-1.03394
l172,Laperrine,1,ville,36.47641,3.75877
l174,Lourmel,1,ville,35.52439,-1.01577
l175,Loverdo,1,ville,36.25417,2.84722
l176,M'Sila,2,ville,35.7132288,4.5314917
l177,Macouba,1,ville,36.78567,4.06273
l178,Maison-Blanche,10,ville,36.7145399,3.2148185
l179,Maison-Carrée,2,ville,36.72028,3.145
l180,Maréchal-Foch,2,ville,36.63773,3.37127
l181,Marengo,5,ville,36.51257,2.41382
l182,Marnia,5,ville,34.84969,-1.72753
l183,Mascara,1,ville,35.3953325,0.1467698
l184,Médéa (ex département d'Alger),19,ville,36.26417,2.75393
l186,Mellila Auribeau,1,ville,36.73139,7.2175
l187,Mers-el-Kébir,4,ville,35.7272989,-0.7069115
l188,Meurad (ex département d'Alger),3,ville,36.475216,2.4270886
l190,Miliana,3,ville,36.3060349,2.2228946
l191,Mongorno,2,ville,36.0707,2.8365
l192,Montgolfier,3,ville,35.5301,1.0216
l193,Monts du Tessala,1,ville,35.31889,-0.765
l194,Mostaganem,21,ville,35.93115,0.08918
l195,Mouzaïa-les-Mines,1,ville,36.32356,2.68858
l196,Mouzaïaville,1,ville,36.46695,2.68991
l197,Négrine,1,ville,34.4114022831,7.5220638143
l198,Nemours (ex département d'Oran),1,ville,35.1023,-1.8568
l199,Oran,371,ville,35.69906,-0.63588
l200,Orléansville,28,ville,36.16525,1.33452
l202,Ouargla (ex département de Constantine),2,ville,31.94932,5.32502
l203,Ouarsenis,1,ville,35.8671,1.622
l204,Oued el Aleug,1,ville,34.7394,8.28601
l205,Oued Fodda,1,ville,36.1844937,1.5257633
l207,Oued Imbert,3,ville,35.36395,-0.51279
l208,Oued Seffioun,1,ville,35.0667287,-0.358688
l209,Oued Seguin (douar) - commune mixte de Châteaudun-du-Rhumel  (ex département de Constantine),1,ville,36.1831,6.3872
l210,Ouled el Alleug (ex département d'alger),7,ville,36.555139,2.786731
l211,Ouled Fayet,5,ville,36.7365,2.9498
l212,Parmentier,1,ville,35.1028,-0.83034
l213,Pasteur,1,ville,35.6917,6.1864
l214,Pélissier,1,ville,35.95203,0.12949
l215,Pérrégaux,4,ville,35.58861,0.06861
l216,Philippeville,3,ville,36.8686,6.9106
l217,Pont-de-l'Isser,1,ville,35.0747,-1.2286
l218,Relizane,6,ville,35.7373,0.556
l219,Renan,2,ville,35.8025,-0.3749
l220,Rio Salado,1,ville,35.3914,-1.0924
l221,Rivet,1,ville,36.6204,3.2239
l222,Rouget de l'Isle,1,ville,35.8971,6.3908
l223,Sahari,1,ville,35.1636,1.8739
l224,Saïda (ex département d'Oran),6,ville,34.83033,0.15171
l225,Saint-Arnaud,1,ville,36.1528,5.6902
l226,Saint-Denis-du-Sig,1,ville,35.5283,-0.1937
l227,Saint-Ferdinand,2,ville,36.70828,2.91258
l228,Sebdou,1,ville,34.6390648,-1.3315305
l229,Sénia (La),2,ville,35.64779,-0.62397
l230,Sétif,17,ville,36.1853616,5.4086808
l231,Sétif Béni Maouche,2,ville,36.4971480847,4.7878031775
l232,Sidi Aïssa,2,ville,35.883659,3.775044
l233,Sidi Ali (ex Cassaigne),3,ville,36.100133,0.4190568
l234,Sidi Bel Abbès,28,ville,35.18994,-0.63085
l235,Sidi Ferruch,1,ville,36.75656,2.84532
l236,Sidi Moussa,3,ville,36.6034933,3.0899394
l237,Souaflia,5,ville,35.8602552,0.3327976
l238,Souk Ahras,2,ville,36.2855325,7.9627599
l239,Souma,1,ville,36.51833,2.90528
l240,Sour el Ghozlane (ex Aumale) (ex département d'Alger),1,ville,36.1473049,3.6909375
l241,Staouéli,5,ville,36.7533623,2.8884581
l242,Tafna,1,ville,35.0929,-1.4343
l243,Tala Ifacene,1,ville,36.3667,5.0167
l244,Tebessa,1,ville,35.4042,8.1242
l245,Temza,1,ville,35.2548742,6.9976493
l246,Ténès,3,ville,36.5097454,1.3021095
l247,Teniet el Had (ex département d'Alger),3,ville,35.87111,2.02806
l248,Tiaret (ex département d'Oran),8,ville,35.3700219,1.322746
l249,Tipasa,3,ville,36.5190657461,2.2164880696
l250,Tizi Ouzou (ex département d'Alger),21,ville,36.7146024,4.0457099
l251,Tlemcen,9,ville,34.87833,-1.315
l252,Trembles (les),1,ville,36.2358,3.6472
l253,Trézel,4,ville,35.1857,1.4961
l254,Trumelet,1,ville,35.4169,1.4754
l255,Turgot,1,ville,35.4184,-1.1792
l256,Valmy (ex département d'Oran),7,ville,35.60879,-0.57389
l257,Vialar,2,ville,35.60722,1.81081
l258,Warnier,1,ville,36.2336,1.2381
l259,Zéralda,5,ville,36.7181,2.8502
l260,Zitoun (douar) - commune d'Oum el Bouaghi,1,ville,37.0265749375,6.438371447
l261,*Cheurfa-Khara,1,ville,36.3807,4.2986
l262,*Constantine,1,ville,36.365,6.61472
l264,*El Adji,1,ville,28.94594,3.06496
l265,*Jemmapes,1,ville,36.73944,7.10528
l266,*Rivet,1,ville,36.6204,3.2239
l267,*Saint-Antoine,2,ville,36.831,6.8829
l268,*Zemmora,1,ville,35.7225,0.7551
l269,Affreville,1,ville,36.26104,2.22015
l270,Aïn Mokra,1,ville,36.8353,7.4533
l271,Berrouaghia,1,ville,36.1322414,2.9172805
l272,Bordj Oued OKriss,1,ville,36.0833,3.97381
l273,Champlain,4,ville,36.26458,3.03083
l274,Cherchell,1,ville,36.6036858,2.1821145
l275,Djelida,1,ville,36.2056,2.0792
l276,Dollfusville,1,ville,36.19667,2.50972
l277,Duperré,1,ville,36.26405,1.9679
l278,El Achir - commune des Bibans,1,ville,36.0639,4.6274
l279,El Halia,1,ville,36.8686,6.9106
l281,Oued Fedala - commune mixte dAïn Touta,1,ville,35.29145,5.84816
l282,Rouached,1,ville,36.4581204,6.0374425
l283,Teblat,1,ville,36.4110137,3.3098607
l284,Tlemcen,1,ville,34.87833,-1.315
l285,Turennes (ex département d'Oran),1,ville,34.8274,-1.5283
l286,*M'Sila,1,ville,35.7132288,4.5314917
l287,*El Harrouch,1,ville,36.6530212,6.8373144
l288,*Sétif,1,ville,36.1853616,5.4086808
l289,Alger,1,ville,36.73225,3.08746
l290,Blida,1,ville,36.478974,2.8043767
l291,Boufarik,1,ville,36.5734496,2.9085171
l292,Djelfa,1,ville,34.668632,3.2488908
l293,Guelma (ex département de Constantine),1,ville,36.46214,7.42608
l294,Guyotville (ex département d'Alger),1,ville,36.80277,2.92185
l295,Kendira,1,ville,36.5428,5.0265
l297,Médéa (ex département d'Alger),2,ville,36.26417,2.75393
l298,Mouillah,1,ville,34.7558812,3.4826308
l299,Oran,2,ville,35.69906,-0.63588
l300,Robertville,1,ville,36.7043,6.8059
l301,Sétif,4,ville,36.1853616,5.4086808
l302,Tizi Ouzou (ex département d'Alger),2,ville,36.7146024,4.0457099
l303,Tlemcen,1,ville,34.87833,-1.315
l304,Aït Mahmoud,1,ville,36.5084,3.9932
l305,Oran,1,ville,35.69906,-0.63588
l306,*Bou Tlélis,1,ville,35.57272,-0.8996
l307,*Cassaigne,1,ville,36.100133,0.4190568
l308,*Djelfa,1,ville,34.668632,3.2488908
l309,*Laghouat,1,ville,33.8,2.86514
l310,*Tiaret (ex département d'Oran),1,ville,35.3700219,1.322746
l311,Alger,3,ville,36.73225,3.08746
l312,Ammi Moussa,1,ville,35.8678,1.1114
l313,Arba (L'),1,ville,36.56471,3.15434
l314,Bessombourg,1,ville,36.99,6.4583
l315,Bône,1,ville,36.9,7.76667
l316,Boufarik,1,ville,36.5734496,2.9085171
l317,Bugeaud,1,ville,36.9113,7.6772
l318,Cap Matifou,1,ville,36.81191,3.2231
l319,Charrier,1,ville,35.03007,0.05865
l320,Châteaudun-du-Rhummel,1,ville,36.16286,6.16651
l321,Constantine,1,ville,36.365,6.61472
l323,Oran,7,ville,35.69906,-0.63588
l324,Ouled Aïssa,1,ville,36.80666,3.81431
l325,Ouled Arrid,1,ville,33.24329,-0.83267
l326,Rouïna el Asnam,2,ville,36.3218684,4.0103679
l327,Saint-Charles,2,ville,36.7561,6.8954
l328,Sétif,1,ville,36.1853616,5.4086808
l329,Teniet el Had (ex département d'Alger),1,ville,35.87111,2.02806
l330,Tiaret (ex département d'Oran),1,ville,35.3700219,1.322746
A001,Archives du ministère des Affaires étrangères,1601,archives,48.9235039805,2.3881795369
A002,Centre des archives diplomatiques dee Nantes,29,archives,47.2284097998,-1.5289760749
A003,Centre international de la Croix-Rouge,1,archives,48.9481947625,2.3643561811
A004,Service central des rapatriés,27,archives,48.9481947625,2.3643561811
A005,Service historique de la défense,2,archives,48.8580243959,2.313394509
